Year,Month,Day,MaxTemp,MinTemp,MeanTemp,Humidity,Radiation,WS,ET,,
2000,3,24,27.9,23.6,24.9,91.1,6.58,0.7,1.569872664,,
2000,3,25,28.9,23.4,26.1,83.1,6.23,0.3,1.556661376,,
2000,3,26,32.4,23.3,25.2,88.4,11.77,1,2.554174399,,
2000,3,27,33.4,23,27.6,78.5,21.1,0.6,4.255256835,,
2000,3,28,32.2,24.1,26.3,87,13.34,0.6,2.832955189,,
2000,3,29,33.8,22.8,27.6,82.6,19.77,0.5,4.027181611,,
2000,3,30,34.3,24.4,26.9,86.3,17.28,0.9,3.652858428,,
2000,3,31,33.2,23.8,27.5,84.6,23.36,0.5,4.657407847,,
2000,4,1,31.9,24.2,26.9,86.6,22.93,1,4.509502884,,
2000,4,2,32.4,23.2,27,86.7,22.37,1.1,4.414113686,,
2000,4,3,31.6,23.8,27.6,85.1,22.31,1.3,4.433891129,,
2000,4,4,33.6,24.5,28.1,81.6,23.43,0.9,4.778435581,,
2000,4,5,33.9,23.7,28.2,82.2,23.12,0.7,4.694975228,,
2000,4,6,34.4,24,28,81.9,23.53,0.7,4.795018301,,
2000,4,7,33.6,23.2,27.7,82.1,15.87,0.3,3.309576688,,
2000,4,8,33.7,24.2,27.5,82.3,17.53,0.4,3.638915218,,
2000,4,9,33.9,23.5,27.5,84.2,19.63,0.6,4.032919911,,
2000,4,10,31,24.1,26.6,91.4,15.06,1.6,3.064876635,,
2000,4,11,33,22.9,27.2,83.9,21.29,1,4.286946036,,
2000,4,12,32.4,23.5,27.7,82.9,16.43,0.5,3.412965444,,
2000,4,13,33.1,24.6,28.6,81.7,21.72,0.8,4.467719708,,
2000,4,14,31.5,25.4,28.2,85.3,8.56,0.2,1.98242081,,
2000,4,15,33.6,25.5,28.6,83.5,10.86,0.2,2.439438862,,
2000,4,16,29,25.6,25.7,91.3,2.48,0.4,0.859501823,,
2000,4,17,34.1,23.1,28.1,79.8,24.65,0.7,4.944121575,,
2000,4,18,34.2,23.5,28.2,81.5,22.74,1,4.679236583,,
2000,4,19,34,23.7,28.1,82.3,22.54,0.9,4.618163953,,
2000,4,20,33.3,24.8,27.8,86.2,16.16,1,3.469733544,,
2000,4,21,34.7,24.2,27.2,87.7,17.61,0.5,3.692571802,,
2000,4,22,33.4,23.4,27.7,86.6,23.07,0.9,4.627451398,,
2000,4,23,31.8,25.2,27.6,86.9,18.27,1.1,3.776871468,,
2000,4,24,32.4,24.8,28.4,82.7,18.35,0.7,3.831502589,,
2000,4,25,32.2,23.2,27.7,84.6,19.63,1.1,4.001273758,,
2000,4,26,34.3,24.8,29.2,80.3,23.71,0.6,4.886309081,,
2000,4,27,33,25.4,27.2,89.2,9.38,0.5,2.15294833,,
2000,4,28,34.2,24.3,28.4,83.1,19.77,0.5,4.116513198,,
2000,4,29,33.7,24.5,27.6,86.7,13.01,0.6,2.858813258,,
2000,4,30,33,24.1,26.7,90.1,13.18,1,2.830027943,,
2000,5,1,32.6,23.5,28.1,84.2,23.46,0.7,4.674322768,,
2000,5,2,31.9,24,27.1,86.8,16.11,0.7,3.338027989,,
2000,5,3,32.2,24.8,27.3,85.3,12.18,0.4,2.650360696,,
2000,5,4,30.6,23.1,26.1,87.6,9,0.3,2.002602596,,
2000,5,5,33,23.2,26.7,87.5,18.15,1.1,3.709843821,,
2000,5,6,32.1,23,27.7,84.9,22.13,0.6,4.381738442,,
2000,5,7,32.9,25.1,28.2,84.7,17.84,0.5,3.729599113,,
2000,5,8,32.7,24.3,28.5,84,21.93,0.9,4.471669793,,
2000,5,9,31.9,24.2,27.7,85,23.4,1.1,4.643280892,,
2000,5,10,32.4,25,27.9,86.9,20.77,0.9,4.233367432,,
2000,5,11,31.5,24.4,26.7,89.4,12.06,0.3,2.569579883,,
2000,5,12,31.2,23.6,26.5,90.1,14.9,1.1,3.060596112,,
2000,5,13,32.6,24.1,28.4,84.1,21.38,0.7,4.345236531,,
2000,5,14,33,24.7,28.7,84.3,22.29,0.9,4.570444891,,
2000,5,15,33.7,25.4,28.9,83.1,19.4,0.6,4.091513594,,
2000,5,16,33,25.3,27.6,84.7,20.27,1.1,4.204378954,,
2000,5,17,33.1,24,28.5,83.3,19.83,0.2,4.039375041,,
2000,5,18,32.4,25.6,28.7,85.7,13.96,0.3,3.012215264,,
2000,5,19,33.1,25.4,29.2,83.4,21.9,0.7,4.537711173,,
2000,5,20,33,24.6,29.1,82.7,21.25,0.5,4.364910545,,
2000,5,21,33.2,25.7,28.7,84.8,15.13,0.3,3.248806082,,
2000,5,22,34.1,24.6,28.7,82.9,14.85,0.3,3.199511027,,
2000,5,23,34.7,25,28.7,82.8,20.27,0.7,4.291059748,,
2000,5,24,30.3,23.7,25.8,91.2,8.57,1,1.950215429,,
2000,5,25,32.7,23.3,27.9,83.5,19.2,0.5,3.907298784,,
2000,5,26,33.1,24.5,28.4,83.4,20.05,0.5,4.124317828,,
2000,5,27,32.7,24.6,27.3,86,15.5,0.6,3.271183626,,
2000,5,28,31.8,23.9,27.9,85,20.5,1,4.145741834,,
2000,5,29,32,24,27.9,85.3,20.81,0.9,4.202511059,,
2000,5,30,29.1,23.9,26.3,90.9,8.53,0.9,1.94148558,,
2000,5,31,30,23.1,25.9,91.8,8.65,0.7,1.931453342,,
2000,6,1,32.6,23.5,27.9,86.9,14.99,0.3,3.145811981,,
2000,6,2,30,24.4,26.4,90.2,8.95,0.5,2.008123898,,
2000,6,3,30.3,22.4,25.9,88.4,9.92,0.3,2.143196023,,
2000,6,4,33.6,23.6,28.3,82.2,17.7,0.2,3.646910408,,
2000,6,5,34,25.3,29,82.3,18.89,0.3,3.962374184,,
2000,6,6,31.9,25.5,26.6,92,10.31,0.5,2.267901165,,
2000,6,7,33.5,23,27.9,84.7,19.06,0.3,3.889459816,,
2000,6,8,31,24.2,26.1,90.4,10.84,0.7,2.348339573,,
2000,6,9,31.5,23.8,27.2,87.3,11.99,0.1,2.545033695,,
2000,6,10,33,23.5,28.3,84.5,21.51,0.3,4.337095087,,
2000,6,11,30.2,25,26.4,88.3,11.14,0.9,2.449037668,,
2000,6,12,33.5,23,27.9,81.8,18.45,0.1,3.728219511,,
2000,6,13,32,24.5,28.1,85.3,19.31,0.5,3.938921939,,
2000,6,14,32.3,24.7,27.7,85.8,19.39,0.7,3.966891619,,
2000,6,15,31.7,24.5,27,86.8,11.42,0.7,2.530770971,,
2000,6,16,32.7,24.9,28.2,84.3,14.89,0.2,3.142943551,,
2000,6,17,31.9,23,27.1,87.5,10.5,0.1,2.274939157,,
2000,6,18,32.1,24.6,26.8,88.7,14.97,0.6,3.126854984,,
2000,6,19,31,23.2,26.6,86.9,10.12,0.6,2.257620312,,
2000,6,20,33.4,24.7,28.3,83.3,20.19,0.4,4.150482703,,
2000,6,21,33.2,23.8,28.3,81.8,20.48,0.3,4.147407946,,
2000,6,22,32.8,24.1,27.1,86.9,16.17,0.5,3.361891283,,
2000,6,23,32.9,23.1,27.6,84.5,18.96,0.4,3.847048755,,
2000,6,24,32.8,24.3,28.2,83.5,18.25,0.4,3.766245047,,
2000,6,25,33,24.2,28.5,82.6,19.17,0.7,3.987473083,,
2000,6,26,31,25,27.3,85.7,12.54,0.6,2.720810165,,
2000,6,27,32.5,23.6,27.7,84.2,20.25,0.6,4.091026178,,
2000,6,28,32.6,24.1,28.2,80.3,21.6,0.8,4.393341826,,
2000,6,29,30.6,22.1,26.1,88.5,10.99,1.1,2.401001275,,
2000,6,30,31.9,23.3,26.9,85.7,17.91,0.9,3.645739769,,
2000,7,1,31.2,23.5,26,90.3,14.5,1,2.970093594,,
2000,7,2,31.4,23.8,26.1,91.2,14.76,0.8,3.014709641,,
2000,7,3,28.5,23.1,24.8,95.3,7.15,1,1.593528095,,
2000,7,4,30.4,23,25.7,89.3,13.25,1.1,2.746964705,,
2000,7,5,33.1,23.5,27.6,83.8,19.12,0.3,3.877318202,,
2000,7,6,32.9,23.6,27.9,84.5,17.74,0.4,3.654608034,,
2000,7,7,32.7,24.2,28.2,82.3,21.04,0.5,4.261486535,,
2000,7,8,32.3,23.6,27.6,82.5,19.17,0.7,3.908059686,,
2000,7,9,32.6,23.1,27.5,83.9,20,0.9,4.060244515,,
2000,7,10,32.5,23.6,27.8,84.4,14.32,0.4,3.034713541,,
2000,7,11,32.3,25.1,28.1,84.6,10.51,0.2,2.340236945,,
2000,7,12,32.5,24.9,28.2,84.2,12.6,0.2,2.72255366,,
2000,7,13,33.4,24,28,83.9,17.07,0.3,3.548775524,,
2000,7,14,31.8,24,27.6,86,15.14,0.8,3.201155344,,
2000,7,15,32,23.5,27.4,86.7,15.5,0.6,3.228950743,,
2000,7,16,32.4,23.8,27.9,85.8,14.17,0.9,3.071405031,,
2000,7,17,32.4,24.4,28,84.7,11.28,0.1,2.451879874,,
2000,7,18,32.6,24.5,27.7,87,12.03,0.4,2.631908654,,
2000,7,19,33,24.9,28.4,84.1,19.12,0.5,3.965718939,,
2000,7,20,33.1,25,28.5,83,18.25,0.5,3.81933775,,
2000,7,21,31.9,24,27.7,85.4,18.05,0.6,3.694255733,,
2000,7,22,33.2,23.4,28.2,80.8,22.01,1.1,4.51438355,,
2000,7,23,33,23,27.3,84,22.17,1.9,4.502745209,,
2000,7,24,32.2,23.5,27.6,83.7,20.57,1.3,4.189962474,,
2000,7,25,32.2,23.3,26.8,85.9,15.1,1.4,3.232580489,,
2000,7,26,29.7,23,25.5,88.2,8.8,1.1,2.040536773,,
2000,7,27,31,23.1,26.4,87.3,12.38,1,2.669745829,,
2000,7,28,29.6,23.4,24.7,93.3,5.78,1.1,1.426228844,,
2000,7,29,32,22.5,26.9,85.8,22.73,1.7,4.445595966,,
